index_origin,author,time,toefl,gre_total,gre_v,gre_q,gre_aw,district,season,type,offertype,major_school_apply,major_school,gpa,graduated,gre_raw,gre_sub,extrainfo,college_apply,major_apply,college_before,major_before,cross,gpa_measure,rl,intern,research,paper,first,sci,exchange
6675,fzn,17,waived,324,154,170,3.5, 美国,Fall,MS,AD无奖,CS@Rice, CSE + Applied Math @ ,3.61,,V:154 G:170 W:3.5,, 无paper水科研,Rice,CS, ,CSE + Applied Math,0,4,0,0,1,0,-1,-1,0
6693,glcobsack,17,112,336,,,, 美国,Fall,MS,AD无奖,CS@ini cmu, finance+cs @ ,3.8,,336,,,ini cmu,CS, ,finance+cs,0,4,0,1,0,0,0,0,0
67,AI73r,18,102,324,154,170,3, 美国,Spring,MS,AD无奖,CE@USC, 电子信息科学 @ 西安电子科技大学,82.7,,"154+170=324, AW 3.0",,,USC,CE, 西安电子科技大学,电子信息科学,0,100,0,0,0,0,0,0,0
670,glcobsack,17,112,336,,,, 美国,Fall,MS,AD无奖,CS@chicago, finance+cs @ ,3.8,,336,,,chicago,CS, ,finance+cs,0,4,0,1,0,0,0,0,0
6701,咔咔嘭,17,98,325,,,3.5, 美国,Fall,MS,AD无奖,EE@USC, 自动化 @ 山东大学,87.95,,325+3.5,,,USC,EE, 山东大学,自动化,0,100,0,0,0,0,0,0,0
6702,m58051492,17,95,315,164,151,3, 美国,Fall,PhD,Offer,Envir@University of California, 环境工程 @ 中国矿业大学(北京),80.5,": 环境工程 @ 哈尔滨工业大学, GPA  3.09  17/46:",164+151+3,, 两篇一作SCI （chemosphere 和 Journal of hazardous materials）,University of California,Envir, 中国矿业大学(北京),环境工程,0,100,0,0,0,1,1,1,0
6705,IM_Sybil,17,103,323,,,4, 美国,Fall,MS,Rej,CS@Tandon @NYU, 信管 @ 华中师大,86,,323+4,,,NYU,CS, 华中师大,信管,0,100,0,0,0,0,0,0,0
671,unijun,17,102,324,154,170,3.5, 美国,Fall,MS,Rej,EE@UCLA, 通信工程 @ SHU,3.55,,154+170+3.5,, 无,UCLA,EE, SHU,通信工程,0,4,0,0,0,0,0,0,0
6718,pwsu,17,109,329,,,3, 美国,Fall,MS,Rej,CS@UCI, EE @ SJTU,90,,329+3,,,UCI,CS, SJTU,EE,0,100,0,0,0,0,0,0,0
6720,charlottebaek,17,102,327,157,170,3.5, 美国,Fall,MS,AD无奖,CS@cs@WPI NCSU TUFTS UTD, EE @ BUPT,NA,,157+170+3.5,,,WPI NCSU TUFTS UTD,CS, BUPT,EE,0,NA,0,0,0,0,0,0,0
6721,不想蒸发的水珠,17,106,329,159,170,3.5, 美国,Fall,MS,AD无奖,CivilEng@CMU, 工程管理 @ ,3.8,,159+170+3.5,,,CMU,CivilEng, ,工程管理,0,4,0,0,0,0,0,0,0
6724,zhouanye,17,107,331,,,3, 美国,Fall,MS,Rej,ME@UIUC, ME @ BIT,3.7,,331+3,, 水水水，有Berkeley教授推荐信,UIUC,ME, BIT,ME,1,4,0,0,0,0,0,0,0
6726,PurYu,17,101,323,156,167,3, 美国,Fall,MS,Rej,CS@Cornell Tech, 微电子 @ pku,3.34,,156+167+3,, gatech暑研，表现差，推荐信未知,Cornell Tech,CS, pku,微电子,0,4,0,0,1,0,0,0,0
6731,zh30018,17,107,324,,,4, 美国,Fall,MS,AD无奖,CS@MSE-CIS@Upenn, CS @ SYSU,90,,324+4,,,Upenn,CS, SYSU,CS,1,100,0,0,0,0,0,0,0
6733,离散非周期,17,90,320,,,, 美国,Fall,MS,AD无奖,CE@usc, 自动化 @ njtech,NA,,320,,,usc,CE, njtech,自动化,0,NA,0,0,0,0,0,0,0
6734,按时对话法,17,109,323,155,168,4, 美国,Fall,MS,Rej,CS@UC Irvine, CS @ SJTU,86.6,,155 168 4,,,UC Irvine,CS, SJTU,CS,1,100,0,0,0,0,0,0,0
6741,clymia,17,106,325,155,170,3.5, 美国,Fall,MS,AD无奖,CS@Georgetown, BME @ SJTU,88.37,,155+170+3.5,,,Georgetown,CS, SJTU,BME,0,100,0,0,0,0,0,0,0
6742,Cris95,17,110,323,,,3, 美国,Fall,MS,WaitingList,CS@cmu, se @ ,3.52,,323（3）,,,cmu,CS, ,se,0,4,0,0,0,0,0,0,0
6743,susie_91,17,108,322,,,3, 美国,Fall,MS,Rej,CS@MSCS@UCI, EE @ ,3.5,,322 3,,,UCI,CS, ,EE,0,4,0,0,0,0,0,0,0
6744,daydreamer735,17,112,328,,,4, 美国,Fall,PhD,Offer,Stat/Biostat@University of Pittsburgh, 统计 @ ,3.72,,328+4,, 两封美国推荐信，UCLA暑研,University of Pittsburgh,Stat/Biostat, ,统计,0,4,0,0,1,0,0,0,0
6749,Lizard squad,17,105,324,,,3.5, 美国,Fall,MS,Rej,CS@UCI,  @ DUT,86,,324+3.5,,,UCI,CS, DUT,,0,100,0,0,0,0,0,0,0
675,ddh,17,101,318,,,3.5, 美国,Fall,MS,AD无奖,CS@NEU SV, 信息工程 @ 华南理工大学,3.24,,318+3.5,, 无,NEU SV,CS, 华南理工大学,信息工程,0,4,0,0,0,0,0,0,0
6754,meepdodder,17,103,322,155,167,4, 美国,Fall,PhD,Offer,ME@UW-Seattle, 光电 @ ,3.89,,155+167+4.0,,,UW-Seattle,ME, ,光电,0,4,0,0,0,0,0,0,0
676,我不会起名字啊,17,IELTS 7.5,超低,,,, 加拿大,Fall,MS,AD小奖,CS@ece@ubc, EE @ ,1,, 没说必须交，考的太低了申ubc时候没交,, 水paper ，国奖，很多乱七八糟的奖用处很小,ubc,CS, ,EE,0,NA,0,0,0,1,0,0,0
6768,咕咪咕咪咕,17,96,319,,,, 美国,Fall,MS,Rej,CS@UCI, GIS @ ,3.66,,319,,,UCI,CS, ,GIS,0,4,0,0,0,0,0,0,0
6774,xian123th,17,102,329,,,, 美国,Fall,PhD,Offer,Math/AppliedMath@UCSD,  @ 西交,NA,,329,860,,UCSD,Math/AppliedMath, 西交,,0,NA,0,0,0,0,0,0,0
6775,闲的时光,17,IELTS 7.0,321,151,170,3, 美国,Fall,MS,Rej,CS@UCI, EE @ UESTC,91.33,":  @ , GPA  : ",151+170+3,,,UCI,CS, UESTC,EE,0,100,0,0,0,0,0,0,0
6782,542669097,17,99,319,150,169,3.5, 美国,Fall,MS,AD无奖,EE@UCI, 电气工程自动化 @ ,3.45,,319,,,UCI,EE, ,电气工程自动化,0,4,0,0,0,0,0,0,0
